title,date_published,content,baseline_sentiment,vader_sentiment,most_common_words
China Releases Fuel From Reserve To Stop Price Spike,2021-11-01T11:00:00-05:00,"China has released gasoline and diesel from its fuel reserve to arrest a price climb that has increased volatility in some parts of the country, Reuters has reported, citing the Chinese National Food and Strategic Reserve Administration.  Diesel and gasoline rotated out of the reserves will be used to increase market resources and reduce supply shortages, in order to stabilize supply and prices, Bloomberg quoted the administration as saying.  Oil product rotation should be more common than crude oil releases from reserves,nbspsaid an SIA Energy analyst, as quoted by CNA. However, the analyst also noted that such reserve releases are generally not officially announced. Sunday's announcement by the Chinese National Food and Strategic Reserve Administration may have been the first ever.  Like many other countries, China has been in the grips of an energy crunch for the past two months as the pick-up in economic activity coincided with tight fossil fuel supply. This prompted Beijing to hold its first-ever crude oil auction for oil from its strategic petroleum reserve in September. The aim of the auction, which was for 7.4 million barrels of crude, was to alleviate raw material price pressures.  The news fuelled the international oil price rally that saw Brent hit $86 per barrel in October. In a bid to cope with the crunch, the Chinese authorities also ordered coal mines to boost production and production capacity and upped natural gas imports to ensure winter supplies after experiencing blackouts and factory shutdowns prompted by the shortage of fossil fuels.  Like all energy news from China, the reports of the reserve release immediately affected oil prices, pushing them lower.  Words are bigger than actions, China learned it from OPEC,nbspSIA Energy's Sengyick Tee told CNA, referring to the effect any news from OPEC has on international prices.  By Charles Kennedy for Oilprice.com",-1,-0.2415,"[' ', 'oil', 'China', 'reserve', 'price', 'Chinese', 'supply', 'prices', 'crude', 'news', 'gasoline']"
Have Oil Markets Suddenly Turned Bearish,2021-10-28T17:00:00-05:00,"Oil and natural gas prices have fallen over the past few days thanks to a trifecta of bearish catalysts Warm weather, Putinrsquos natural gas intervention, and an agreement to resume talks in Vienna about Iranrsquos nuclear program. After trading above $85/barrel for the first time in seven years, Brent prices were quoted at $83.60 on Thursday while WTI prices dropped to $82.50. However, natural gas recorded the biggest fall, with prices falling 6.3% to trade at $5.81 per MMBtu.  The latest EIA report and Standard Chartered commodity update have revealed that US inventories have been rising relative to seasonal norms since late September. Indeed, the four-week average change has turned positive since early October, partly due to higher-than-normal temperatures, and currently stands at 454 thousand barrels per day kb/d.nbsp  Oil product inventories have not yet begun their usual seasonal sharp draws, so itrsquos perhaps not surprising they rose 10.36 million barrels mb relative to the seasonal average in the latest data.  But this gets a lot more interesting down the line.  Weak demand  More worryingly, implied crude demand fell w/w for all products except jet fuel, with the key mismatch being between total crude inventories and inventories at the WTI pricing hub in Cushing, Oklahoma.  Over the past three weeks, Cushing inventories have fallen by 8.2 mb while crude inventories in the rest of the U.S. have risen by 17.9 mb. Standard Chartered says ample crude availability in the US is clearly not being reflected at Cushing. However, SC says domestic price differentials should be able to adjust enough for flows to Cushing to increase, lessening the distortion of a local shortage. The banker says its models have predicted a slight tightening into December and then a move back into significant surplus in January.  To compound the surplus in the coming year are expectations of higher Iranian exports in 2022 to moderate the upside in the current crude rally.  Putin intervenes  Until recently, the rise in US natural gas prices owed more to fears of a cold winter and the expectation of increased exports to Asia and Europe than it did to domestic fundamentals. The storage situation in the lower-48 states remains distinctly more comfortable than in Europe in addition, while inventories are below the five-year average, with the gap narrowing.  The latest EIA storage data shows a w/w increase of 92 billion cubic feet bcf, taking the total to 3,461bcf. The gap below the five-year average storage level narrowed for the sixth successive week, taking it to 151bcf, 23bcf less w/w and 84bcf less than in the first week of September.  However, the latest developments in the space have roiled the natural gas bull run.  UK and European natural gas prices fell on Thursday after Russian president Vladimir Putin ordered state-run Gazprom to begin filing storage facilities in the continent beginning next month.  Gazprom has allowed its Europe storage facilities to fall to unusually low levels, with critics suggesting that Russia has exacerbated an energy crisis in order to increase pressure on Germany and the EU to speed up the approval of the controversial Nord Stream 2 pipeline. Russia has denied the allegations, but serious concerns have arisen over the long-term impact of such high prices on future gas demand.  Analysts remain divided on whether demand will continue to outstrip supply in years to come.  Richard Gorry, managing director of JBC Energy Asia, thinks the current gas crisis will likely repeat itself in the future.  lsquolsquoThis will be a crisis that is reoccurring over the next three or four years mdash simply because we donrsquot have a lot of new natural gas supply coming into the market in that period. By 2025, the situation may change, but I think we definitely have a couple of years where wersquore going to be looking at high energy prices,rdquo he told CNBCrsquos ldquoCapital Connectionrdquo in mid-October.  Gorry also points to the natural gas bridge, noting that gas demand has been growing ldquoquite rapidlyrdquo as countries attempt to shift away from coal and oil, to cleaner energies since natural gas is less polluting than both coal and oil.  But James Whistler, global head of energy derivatives at shipbroking firm Simpson Spence Young, begs to differ and says prices are unlikely to remain elevated beyond this winter.  lsquolsquoAre we going to be in an energy crisis perpetually for the next three years Absolutely not. This is a short-term issue hellip come March or April next year, wersquoll see much more reasonable prices starting to come through again,rdquo Whistler told CNBCrsquos ldquoStreet Signs Asiardquo on Wednesday.  Gavin Thompson, Asia Pacific vice chairman of energy at Wood Mackenzie, is also bearish, saying that another energy crisis is likely to lead to the world falling back to oil and coal.  This is already happening as we speak Two weeks ago, we reported that high natural gas prices could lead to a 2mb/d increase in oil demand as power generators shifted from nat. gas to oil. Although oil prices have been rallying, nat. gas prices have recently traded at the equivalent of oil at $200/barrel, making it unsustainable for electricity generating companies to continue relying on the cleaner fuel.By Alex Kimani for Oilprice.com",-1,-0.8983,"[' ', 'gas', 'prices', 'natural', 'inventories', 'oil', 'demand', 'w', 'energy', '$', 'years']"
A Cold Winter Could Double Natural Gas Prices And Send Oil To $100,2021-10-26T09:00:00-05:00,"Crude oil could hit $100 per barrel if the winter turns out cold, one analyst has warned, adding that natural gas prices could double from current levels.  BMO Capital Markets oil and gas research managing director Randy Ollenberg told Bloomberg that We're in a really weather-sensitive situation here where we could see natural gas prices really, even, double from here if we get some really cold weather and we could see crude oil prices break through US$100.  There could be some pretty significant increases in pricing here if we do get some really cold weather early ndash so, in December, Ollenberg said. We're talking about cold weather in Europe and Asia, that's really where it's critical.  However, if the weather turns out to be mild during the winter, prices will correct during the first quarter of next year, the analyst also said.  Ollenberg is not alone in this bullish outlook. In a separate interview with Bloomberg, Ira Epstein from asset manager Linn and Associates said he expected West Texas Intermediate to hit $90 by the end of the year on strong demand for oil coupled with not enough new supply.  The sentiment was echoed by Goldman Sachs, too. The investment bank, which earlier this month revised up its price forecast for Brent to $90 per barrel by year-end, now says it could top $90 per barrel. The bank cited utilities' switch from gas to oil as a factor for this revision as it could potentially add 1 million bpd to global demand for oil.  While not our base-case, such persistence would pose upside risk to our $90/bbl year-end Brent price forecast,nbspGoldman analysts said, adding there was further space for oil to grow, too.  We would need prices to rise to $110 /bbl to stifle demand enough to balance the market deficit we currently see in 1Q22 given our expectation that OPEC continues on the current path of 0.4 mb/d per month increases in quotas.  By Irina Slav for Oilprice.com",1,-0.2555,"[' ', 'oil', '$', 'prices', 'weather', 'cold', 'gas', 'said', 'year', '90', 'barrel']"
Will China's New Covid Outbreak Halt The Oil Price Rally,2021-10-25T09:00:00-05:00,"China put more than 35,000 residents in a northern county on lockdown as of Monday to contain a new COVID flare-up in the country ndash a development which the oil market is ignoring so far as overall bullish sentiment prevails.  In a bid to quickly contain a fresh outbreak in Ejin, a county in the region of Inner Mongolia, Chinese authorities asked residents to stay at home from today.  China expects new cases to rise in coming days, a health official cited by Bloomberg said on Sunday.  China typically acts very quickly to lock down towns and cities in case of rising COVID cases, and questions remain whether the lockdown this time will extend to more provinces and regions to the extent of slowing down Chinese fuel demand and economic growth.  As of Monday, the oil market largely shrugged off the news out of China, amid a prevailing bullish sentiment with dwindling global inventories and rebounding oil demand. Early on Monday, both benchmarks hit fresh multi-year highs, with the U.S. benchmark, WTI Crude, trading at $84.82, up 1.23%, and Brent Crude sitting above $86, at $86.46, up 0.98% on the day.  The COVID flare-ups in the summer in China led to more lockdowns and oil prices pulling back for a few weeks, with estimates from Goldman Sachs pointing at the time that Chinese demand could be 1 million barrels per day bpd lower for two months than previously expected.  ldquoFor now, the market does not appear concerned about the Covid-19 outbreak in a number of provinces in China. China has, however, demonstrated multiple times that it is able to get outbreaks under control fairly quickly,rdquo ING strategists Warren Patterson and Wenyu Yao said on Monday.  ldquoSome worrying Covid flare-ups were back in the headlines over the weekend, prominently in China, but were not impacting the buying rush in crude futures,rdquo Vanda Insights said in a note.  By Tsvetana Paraskova for Oilprice.com",0,-0.8765,"['China', ' ', 'Monday', 'oil', 'COVID', 'flare', 'market', 'quickly', 'Chinese', 'said', 'demand']"
Brent Oil Hits $86 On Dwindling U.S. Inventories,2021-10-21T09:15:00-05:00,"Brent Crude prices hit $86.10 per barrel early on Thursday, jumping to the highest level in three years, before retreating to just above $85 amid profit-taking.  Driven by signs of tighter oil supply and a bullish EIA weekly inventory report on Wednesday, oil prices rose early on Thursday, with the international benchmark, Brent Crude, rallying to $86.10mdashthe highest price since October 2018. The U.S. benchmark, WTI Crude, settled at a fresh seven-year high on Wednesday and was up early on Thursday before pulling back later in the morning.  As of 1003 a.m. EDT on Thursday, Brent Crude was down 0.83% at $85.08. WTI Crude was trading down 0.74% at $82.75, after briefly trading on Wednesday at $84 a barrel, for the first time since 2014. nbsp  Profit-taking eased the prices on Thursday after they had reached, again, multi-year highs.  Sentiment continues to be bullish after the U.S. Energy Information Administration EIA reported on Wednesday a surprise crude inventory draw of 400,000 barrels for the week to October 15. At 426.5 million barrels, commercial crude inventories remain below the five-year average for this time of the year.  Gasoline inventories were also down last week by a sizeable 5.4 million barrels. This compared with a draw of 2 million barrels for the previous week.  EIArsquos report was constructive, ING strategists Warren Patterson and Wenyu Yao said on Thursday, noting that ldquoWhile the weekly numbers showed that commercial crude oil inventories declined by just 431Mbbls, total oil and product stocks fell by 9.81MMbbls over the week.rdquo  Moreover, crude oil inventories at the Cushing hub fell by more than 2 million barrels, which leaves them at 31.23 million barrels, the lowest level since 2018, according to INGrsquos strategists.  ldquoContinued strength in oil prices means that pressure on OPEC to pump more will only grow,rdquo they said.  ldquoThe reluctance of OPEC to pump more in the short term suggests that oil prices will remain well supported for the remainder of this year,rdquo ING noted.  By Tsvetana Paraskova for Oilprice.com",-1,-0.9794,"[' ', 'oil', '$', 'Thursday', 'barrels', 'Crude', 'prices', 'year', 'million', 'Wednesday', 'crude']"
Iraq Oil Could Hit $100 Next Year,2021-10-20T12:00:00-05:00,"Oil prices could hit $100 a barrel during the first half of 2022 amid low global commercial stocks, Iraqrsquos Oil Minister Ihsan Abdul Jabbar Ismaael said on Wednesday, as carried by Reuters.  At the same time, the minister told reporters in Baghdad that the OPEC group was considering ways to balance the market as the alliance does not want oil to exceed certain ldquoacceptablerdquo levels.nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbspnbsp  An ldquoacceptablerdquo long-term price range for oil prices would be between $75 and $85 per barrel, the Iraqi oil minister said, quoted by Reuters.  The OPEC group is ldquoat the same time against further boosting global oil inventories, as they could lead to the collapse of oil markets,rdquo said the minister of OPECrsquos second-largest producer behind Saudi Arabia.  At the end of last month, Jabbar Ismaael said that OPEC was working to keep oil prices around $70 per barrel. The official said the ministry hoped that oil prices would remain above $65 per barrel.  Since the minister said that the group was looking to keep prices around $70, oil has gained $10 per barrel.    Prices have rallied since the end of September, on the back of rebounding global demand amid weaker supply response from producers, including OPEC and the U.S. shale patch. The global energy crisis and record-high natural gas and coal prices further stoke demand for oil products, pushing forecasts of oil demand in the winter months higher.  While the Iraqi oil minister doesnrsquot rule out $100 oil in the first or second quarter of 2022, he warned the market earlier this month that a three-digit oil price would not be sustainable for the OPEC coalition, which works for stable and predictable markets.  Yet, the Iraqi oil minister is not alone in his prediction that oil could reach $100 early next year.  Oil pricesnbspcould hit $100nbspin case of a colder winter, some analysts and investment banks have said in recent weeks.nbspnbsp  Surging natural gas prices, a cold winter, and reopening of international airline travel could push oil prices to $100 per barrel, Bank of Americanbspsaidnbspin early October. But $100 oil could also trigger the next global economic crisis due to the high inflationary pressure, the bank noted.nbsp  By Tsvetana Paraskova for Oilprice.com",-1,-0.8439,"['nbsp', 'oil', '$', ' ', 'prices', 'said', 'barrel', 'minister', '100', 'global', 'OPEC']"
Oil Prices Dip As China Considers Market Intervention,2021-10-20T08:40:00-05:00,"Oil prices dropped early on Wednesday after China said it was considering an intervention on the domestic coal market to reduce the record prices down to a ldquoreasonable range.rdquo  As of 756 a.m. EDT on Wednesday, before the weekly EIA inventory report, WTI Crude prices were down 1.11% at $82.04, and Brent Crude was trading down by 0.96% to $84.26.  Oil prices continued to fall from the multi-year highs reached early this past Monday, when WTI Crude hitnbspthe highest level since October 2014nbspat $83.73, and the international benchmark briefly jumped above $86 per barrel at $86.04, which was the highest price since October 2018.nbsp  The key trigger of the price retreat early on Wednesday came from China, where the National Development and Reform Commission NDRC said that the government was considering an intervention to reduce the price of coal whose recent ldquoincrease has completely deviated from the fundamentals of supply and demand.rdquo  ldquoThe heating season is approaching and the price is still showing a further irrational upward trend,rdquo Reuters quoted the commission as saying.  The possible Chinese intervention sent the key Chinese coal futures plunging early on Wednesday.  On Tuesday, the most actively traded coal futures in China had hit a fresh record-high after the energy crisis worsened because of colder weather in recent days.  A Chinese intervention to bring coal prices down could ldquoreverse the fuel switch to oil,rdquo analysts at Commerzbank told Reuters.  Oil prices were also weighed down by profit-taking and a fourth straight week of U.S. crude oil inventory builds as estimated on Tuesday by the American Petroleum Institute API.  The build last week was estimated at 3.294 million barrels, above analyst expectations of a 2.233-million-barrel build. Still, the API report was not entirely bearish for market sentiment because gasoline and distillate inventories, as well as crude stocks at the Cushing hub, were estimated to have dropped last week. nbspnbsp  By Tsvetana Paraskova for Oilprice.com",-1,-0.9566,"[' ', 'prices', 'coal', '$', 'early', 'Wednesday', 'intervention', 'price', 'Oil', 'China', 'Crude']"
The Battle For Oil Market Share Heats Up Within OPEC,2021-10-19T13:00:00-05:00,"The ongoing energy crunch has put a lid on what seemed to be the ideal bull run for this yearrsquos autumn season ndash OPEC has maintained rigorous discipline even after it concluded a new supply cut agreement until end-2022, whilst demand for energy was growing much more robustly than anyone anticipated. Power consumption mandates, production cuts and electricity shortages have, however, become the new reality of October 2021, reshaping the overall market fundamentals of crude. Chinese buying, always presumed to restart at some point later this year, is now off the agenda, whilst Indiarsquos own post-third wave rally was ground to a halt by an unprecedented wave of power shortages. Against all this, Middle Eastern producers needed to calibrate their November 2021 OSPs very carefully.  Graph 1. Saudi Aramco Official Selling Prices in November 2021 for Asia USD per barrel, vs ICE Bwave.  Source Saudi Aramco.  Saudi Aramco has cut prices for Asia-bound cargoes in November 2021 by 10-50 cents per barrel, with the heaviest Arab Heavy stream seeing the most marked month-on-month change, dipping to a -$0.1 per barrel discount against Oman/Dubai. Aramcorsquos nuanced approach of cutting light streams the least makes sense for several reasons ndash cracks across the Asian petrochemical sector are still robust enough for grades with a high naphtha cut. Second, it will be predominantly Arab Heavy and Arab Medium that would be coming back on the back of Saudi Arabia complying with its gradually increasing OPEC production targets, i.e. ampler supply should generally necessitate a downward pricing pressure which Aramco already anticipates. Third, some Asian customers might be tempted to try out gas-to-oil switching amidst exorbitant LNG prices, therefore conducive pricing might potentially sway them in Aramcorsquos direction.  Graph 2. Saudi Aramco Official Selling Prices in November 2021 for Northwest Europe USD per barrel, vs ICE Bwave.   Source Saudi Aramco.  nbsp  Similarly, the formula prices for Europe-bound cargoes were cut by $0.5-1 per barrel for Northwest Europe and by $0.3-0.6 per barrel for the Mediterranean, meaning that Saudi Aramco is ready to vie for a larger market share after the pricing rollover with October 2021 OSPs. The first OSP cut for Europe-bound cargoes took place already in September, the second month of OPEC supply increases, and despite a marginal increase in flows to 680kbpd in September the desired effect is still not yet there, Saudi Arabia still lacks some 100-150kbpd in exports to Europe compared to the pre-pandemic era.  Graph 3. ADNOC Official Selling Prices in 2017-2021 USD per barrel.   Source ADNOC.  The Singapore marker prices for front-month IFAD ICE Futures Abu Dhabi trading have established the November 2021 OSP for the UAE benchmark, the light sweet Murban, at $73.41 per barrel. Whilst the outright price is set by the exchange, ADNOC decides on other gradesrsquo differentials to Murban and this month it has decided to keep them unchanged, for lack of a strong market hint to do otherwise. Murban is still yet to reach its pre-pandemic export levels of above 1 mbpd, averaging around 930kbpd in September as ADNOCrsquos voluntary production cuts see the last months of their implementation before they are finally tapered off in November, implying that from December 2021 onwards UAE production should not be curtailed by any voluntary production limit.    Whilst overall volumes of traded contracts failed to impress over September, Murban nevertheless managed to pull off a noteworthy feat ndash a spot cargo was offered at the IFAD against a differential to the exchange-traded monthly average and not vs the most frequently used Dubai crude assessment, showing the first real-life signs of how Murban might be undercutting the overall Dubai complex when hedging Murban cargoes the buyer would buy the Brent-Dubai EFS spread which would see him selling Dubai futures. Meanwhile, despite the beneficial prices globally ADNOC has scaled back its downstream ambition by forgoing its plans to build a new 400kbpd refinery in Ruwais that was assumed to be operational by 2026 and providing Abu Dhabi with even bigger exposure to the petrochemicals segment.  Graph 4. Iraqi Official Selling Prices for Europe in 2018-2021 USD per barrel.   Source SOMO.  Seemingly eager to continue the pricing battle with Saudi Arabia, Iraqrsquos state oil marketing company SOMO mirrored the month-on-month changes of the Saudi NOC and cut the November OSPs of its three Basrah grades to Asian customers by 40-50 cents per barrel, with Basrah Heavy seeing the largest cut from October. This should help maintain firm interest in Iraqi barrels ndash after all, the Basrah Light-Arab Medium spread to its lowest in 5 years last month at a -$0.60 per barrel discount and will stay at the same level in November, too. In the meantime, SOMO might no longer offer Basrah Light cargoes for annual term allocations as its recently leaked message to buyers seems to suggest. Overall, the omission of Iraqrsquos lightest export stream should not really come as a surprise ndash if anything, with production getting increasingly tilted towards the heavier barrels, SOMO was never really capable of providing the market with true Basrah Light quality.  Graph 5. Basrah Light-Arab Medium spread in 2018-2021 USD per barrel.   Source SOMO.  With September recording the second-strongest month in terms of Asia-bound exports this year, Iraq has less to worry about firm Asian demand waning than it should rather focus on revitalizing European demand. Despite generous OSP cuts ndash for instance, the largest Iraqi stream Basrah Medium would be traded at the same -$5.90 per barrel discount to Dated BFO ndash export volumes are slow to pick up and have been lagging behind pre-pandemic levels quite tangibly. One ought to note that it is not merely a function of supply and demand, SOMOrsquos crackdown on re-trading and its stringent approach demonstrated vis-agrave-vis destination clauses contributed at least as much as market fundamentals did i.e. Basrah barrels palpably more difficult to trade freely for those not having a term supply contract with SOMO.  Graph 6. Iranian Official Selling Prices for Asia in 2018-2021 USD per barrel.   Source NIOC.  Ever since the election of Ebrahim Raisi as Iranrsquos new president, the question of Teheran returning to the global crude markets anytime soon has lost traction. With Iran reportedly intent on putting forward additional demand beyond the already-negotiated commitments, the complexity of finding an outcome that would be mutually acceptable is almost too hard to imagine. For instance, the JCPOA negotiating team still failed to overcome one of its fundamental flaws, namely that Iran is negotiating with the EU, Russia and China, i.e. countries that were always in favour of maintaining the nuclear deal, whilst there have not been direct talks with the United States throughout the process, making it all but impossible to strike a harmonious note.    When it comes to Iranian OSPs for November-loading cargoes, Iranrsquos national oil company NIOC followed in the footsteps of Saudi Arabia and dropped its Asian formula prices by 35-40 cents per barrel, though Iranian Light did gain marginally vis-agrave-vis its more sulphurous Saudi peer Arab Light, now trading at a 1.10 per barrel premium to the Oman/Dubai average. The fact that Iran prefers to maintain its Asian prices on par with the mainstream trends might in fact reflect an overlooked sense of confidence as NIOC continues to export crude barrels to East Asian countries. Roughly two-thirds of all exports end up in China even though vessel-tracking data would suggest that Iranrsquos largest market outlet is Malaysia, averaging around 0.5mbpd in July-August and might be the same for September once all the cargoes come out of their lurking.  By Gerald Jansen for Oilprice.com",-1,-0.3192,"['barrel', ' ', '2021', 'Saudi', 'November', 'month', 'Basrah', 'ndash', 'cut', 'Aramco', 'prices']"
Oil Falls From Multi-Year Highs,2021-10-19T11:00:00-05:00,"Oil prices reversed course on Tuesday, paring gains from earlier in the day in what some analysts described as a short-term pullback from multi-year highs as the global energy crunch continues.  As of 1050 a.m. EDT on Tuesday, WTI Crude was trading down 0.04% at $82.46 and Brent Crude was down 0.09% at $84.34.  Oil prices held close to the multi-year highs reached early on Monday, when WTI Crude hit the highest level since October 2014 at $83.73 and the international benchmark briefly jumped above $86 per barrel at $86.04, which was the highest price since October 2018.nbsp  Oil weakened later on Monday and this weakness continued into Tuesday.  ldquoA fall in US industrial production in September would have not helped sentiment, along with weaker GDP numbers from China,rdquo ING strategists Warren Patterson and Wenyu Yao said on Tuesday.  On Monday, bearish Chinese data capped price gainsmdashChina recorded in September its lowest daily refinery throughput innbsp16 monthsnbspamid a power crunch and feedstock shortage, as well asnbsplower-than-expectednbspeconomic growth in the third quarter.    In the U.S., data late on Monday showed that manufacturing output dropped by 0.7 percent in September, for the largest decline since February, ldquoas shortages of semiconductors continued to hobble operations,rdquo the Fed said.  ldquoNew disappointing US key figures on industrial production offered some concerns about the scale of the global demand recovery, an essential topic on the oil market right now. Early Tuesday, we see the market drifting more or less sideways,rdquo Energi Danmark analysts said in a daily note on Tuesday.  Concerns about demand slowdown amid high fuel prices may have also returned.  ldquoSorry, folks, but the cost of gasoline is still going up,rdquo AAA said on Monday, noting that higher crude oil prices continue to push gasoline prices higher.  ldquoAnd unfortunately, it doesnrsquot look like drivers will be finding relief at the pump any time soon,rdquo AAA spokesperson Andrew Gross said. nbsp  The ldquomomentary lapse of confidencerdquo on the oil market wasnrsquot surprising but it will likely be brief, broker PVM Oil Associates said on Tuesday.  ldquoThis retracement, however, ought to be just like previous ones ndash brief. After all, the break above the $80/bbl was triggered by both supply and demand considerations and the underlying picture has not changed,rdquo the broker said.  By Tsvetana Paraskova for Oilprice.com",-1,-0.8866,"[' ', 'Tuesday', 'said', '$', 'rdquo', 'prices', 'Monday', 'Oil', 'Crude', 'September', 'demand']"
Refining Billionaire $100 Oil Is Likely,2021-10-18T13:00:00-05:00,"With oil prices rallying in recent weeks, it looks like we are going to see $100 a barrel oil, John Catsimatidis, who is active in both the oil and food business, told FOX Business on Monday. nbsp  ldquoWith oil nearly at $84 this morning, we are going to see $100 oil, it looks like, therersquos no sign of it stopping,rdquo said Catsimatidis, who is chief executive of United Refining Company, and president and CEO of Gristedes, DrsquoAgostino Foods, and the Red Apple Group.  ldquoFood prices are going up tremendously,rdquo Catsimatidis told FOX Business.  Food prices are going up very fast because nobody wants to be behind the curve, and everyone is raising prices, the executive said.  Catsimatidis expects prices to rise by 10 percent in the next 60 days, inflation not to go away any time soon, and supply-chain issues to likely persist through the middle of 2022.  The billionaire U.S. businessman with interests in the oil and food business, among others, is not alone in his forecast that oil prices could hit $100 per barrel.  Oil could hit $100nbspin case of a colder winter, some analysts and investment banks have said in recent weeks. Record-high natural gas prices are forcing some utilities to switch to oil derivatives instead, boosting demand for crude.  Surging natural gas prices, a cold winter, and the reopening of international airline travel could push oil prices to $100 per barrel and trigger the next economic crisis, Bank of Americanbspsaidnbspin early October.  Recovering global oil demand could send oil prices to $100 a barrel at some pointnbspat the end of 2022, despite COVID challenges to demand this coming winter, according to one of the worldrsquos largest independent oil traders, Trafigura.  It is ldquoquite possiblerdquo that the WTI Crude oil prices reach $100 per barrel in light of growing global demand for energy commodities, Russian President Vladimir Putin said last week.  By Tsvetana Paraskova for Oilprice.com",1,0.56,"['oil', 'prices', ' ', '$', '100', 'barrel', 'going', 'Catsimatidis', 'said', 'demand', 'winter']"
Oil Rallies To Fresh Multi-Year Highs,2021-10-18T09:00:00-05:00,"Oil prices rose early on Monday, extending Fridayrsquos gains and hitting fresh multi-year highs, as the energy crisis in Europe and Asia continues to brighten the outlook for oil products to replace record-priced natural gas and coal.  As of 320 a.m. EDT on Monday, the prompt WTI Crude contract was up by 1.11% at $83.19. Earlier in the session, WTI Crude hit the highest level since October 2014 at $83.73.  The international benchmark, Brent Crude, traded at $85.46, up 0.73%. Earlier on Monday, Brent had briefly jumped above $86 per barrel at $86.04, which was the highest price since October 2018. nbsp  Oil extended gains from Friday, which wrapped up the eighth consecutive weekly gain for WTI Crudemdashthe longest weekly winning streak since 2015. On Friday, Brent briefly topped $85 a barrel as energy markets continue to tighten ahead of the winter.  The rally continued early on Monday with the expectation of higher demand for oil products such as fuel oil and diesel to replace natural gas for power generation amid record-high gas prices in Europe and Asia.  ldquoAs the energy crisis stemming from severe natural gas shortages in Europe and a coal crunch in China enters its fourth week, worries over an oil supply shortfall for fuel replacement are snowballing,rdquo Vanda Insights said in a note early on Monday.  Brent briefly hit $86 a barrel ldquodue to a tight physical market,rdquo ING strategists Warren Patterson and Wenyu Yao said on Monday.  ldquoOver-compliance by the OPEC on output cuts have been helping crude oil supplies to remain tight,rdquo the strategists said, noting that Bloomberg data showed the group pumped last month some 740,000 bpd of crude below the agreed production limit.  The rally on Monday was capped by some bearish Chinese data showing the lowest daily refinery throughput in 16 months amid a power crunch and feedstock shortage, and lower-than-expected economic growth in the third quarter.  By Tsvetana Paraskova for Oilprice.com",1,-0.8176,"[' ', 'Monday', '$', 'oil', 'gas', 'Brent', 'early', 'energy', 'Europe', 'natural', 'WTI']"
Energy Crunch Pushes Oil To Longest Weekly Bull Run Since 2015,2021-10-15T09:00:00-05:00,"Oil prices rose early on Friday, with WTI Crude set for its eighth consecutive weekly gain for the longest weekly winning streak since 2015 and Brent briefly topping $85 a barrel as energy markets continue to tighten ahead of the winter.  As of 846 a.m. EDT, WTI Crude prices were up 0.68% at $81.88. Brent Crude, the international benchmark, traded at $84.81, up 0.94%, after having briefly hit $85.09 earlier in the day.  The rally in energy commodities, the switch from gas to oil amid record-high natural gas prices, and the tight control over supply from the OPEC group continue to push oil prices higher.  Early on Friday, WTI Crude was poised for its best consecutive weekly performance since 2015, according to Bloomberg estimates.nbsp  The oil market received a major boost on Thursday when the International Energy Agency IEA said in its monthly report that the energy crisis had spurred a switch to oil products from natural gas. This, the IEA says, could raise global oil demand by 500,000 barrels per day bpd compared with ldquonormal conditions,rdquo or a market in which energy and power prices are not setting record highs.    Due to expectations of higher oil demand from the gas-to-oil switch, the IEA raised its demand forecast for both 2021 and 2022. This year, global oil demand is now expected to grow by 5.5 million bpd from 2020, the agency said, revising up its growth forecast by 170,000 bpd from last month. Next year, demand will rise by another 3.3 million bpd from 2021. This is an upward revision by 210,000 bpd compared to last monthrsquos projection. In 2022, global oil demand is expected to reach 99.6 million bpd, ldquoslightly above pre-Covid levels,rdquo the IEA said. nbsp  U.S. data from Thursday showing a slump in stocks at the Cushing hub also supported prices on Friday, Vanda Insights said.  OPEC also gave fresh impetus to oil bulls after the Saudi Energy Minister, Prince Abdulaziz bin Salman, basically ruled out the option that the alliance would respond to the oil price rally by adding more supply than planned, when an oversupply is expected on the market next year.  ldquoWe should look way beyond the tip of our noses. Because if you do, and take rsquo22 into account, you will end up by end of rsquo22 with a huge amount of overstocks,rdquo he said on Thursday.  By Tsvetana Paraskova for Oilprice.com",1,0.923,"['oil', ' ', 'prices', 'demand', 'bpd', 'said', 'Crude', '$', 'energy', 'gas', 'IEA']"
